,location_id,latitude,longitude,obs_date,dataset_name
0,19394123,41.325,-70.566,20180101,Martha's Vineyard Coastal Observatory
1,78310702,41.57,-71.41,20180101,GSO Dock
2,19394123,41.325,-70.566,20180102,Martha's Vineyard Coastal Observatory
3,78310702,41.57,-71.41,20180102,GSO Dock
4,19394123,41.325,-70.566,20180105,Martha's Vineyard Coastal Observatory
5,19394123,41.325,-70.566,20180106,Martha's Vineyard Coastal Observatory
6,19394123,41.325,-70.566,20180107,Martha's Vineyard Coastal Observatory
7,19394123,41.325,-70.566,20180108,Martha's Vineyard Coastal Observatory
8,19394123,41.325,-70.566,20180109,Martha's Vineyard Coastal Observatory
9,19394123,41.325,-70.566,20180110,Martha's Vineyard Coastal Observatory
10,19394123,41.325,-70.566,20180122,Martha's Vineyard Coastal Observatory
11,19394123,41.325,-70.566,20180123,Martha's Vineyard Coastal Observatory
12,19394123,41.325,-70.566,20180124,Martha's Vineyard Coastal Observatory
13,19394123,41.325,-70.566,20180125,Martha's Vineyard Coastal Observatory
14,19394123,41.325,-70.566,20180126,Martha's Vineyard Coastal Observatory
15,78310702,41.57,-71.41,20180126,GSO Dock
16,19394123,41.325,-70.566,20180127,Martha's Vineyard Coastal Observatory
17,78310702,41.57,-71.41,20180127,GSO Dock
18,19394123,41.325,-70.566,20180129,Martha's Vineyard Coastal Observatory
19,78310702,41.57,-71.41,20180129,GSO Dock
20,19394123,41.325,-70.566,20180130,Martha's Vineyard Coastal Observatory
21,78310702,41.57,-71.41,20180130,GSO Dock
22,19394123,41.325,-70.566,20180131,Martha's Vineyard Coastal Observatory
23,78310702,41.57,-71.41,20180131,GSO Dock
24,19394123,41.325,-70.566,20180201,Martha's Vineyard Coastal Observatory
25,78310702,41.57,-71.41,20180201,GSO Dock
26,19394123,41.325,-70.566,20180202,Martha's Vineyard Coastal Observatory
27,78310702,41.57,-71.41,20180202,GSO Dock
28,19394123,41.325,-70.566,20180203,Martha's Vineyard Coastal Observatory
29,78310702,41.57,-71.41,20180203,GSO Dock
30,19394123,41.325,-70.566,20180204,Martha's Vineyard Coastal Observatory
31,78310702,41.57,-71.41,20180204,GSO Dock
32,19394123,41.325,-70.566,20180205,Martha's Vineyard Coastal Observatory
33,78310702,41.57,-71.41,20180205,GSO Dock
34,19394123,41.325,-70.566,20180206,Martha's Vineyard Coastal Observatory
35,78310702,41.57,-71.41,20180206,GSO Dock
36,19394123,41.325,-70.566,20180207,Martha's Vineyard Coastal Observatory
37,78310702,41.57,-71.41,20180207,GSO Dock
38,19394123,41.325,-70.566,20180208,Martha's Vineyard Coastal Observatory
39,78310702,41.57,-71.41,20180208,GSO Dock
40,19394123,41.325,-70.566,20180209,Martha's Vineyard Coastal Observatory
41,78310702,41.57,-71.41,20180209,GSO Dock
42,19394123,41.325,-70.566,20180210,Martha's Vineyard Coastal Observatory
43,78310702,41.57,-71.41,20180210,GSO Dock
44,19394123,41.325,-70.566,20180211,Martha's Vineyard Coastal Observatory
45,78310702,41.57,-71.41,20180211,GSO Dock
46,19394123,41.325,-70.566,20180212,Martha's Vineyard Coastal Observatory
47,19394123,41.325,-70.566,20180213,Martha's Vineyard Coastal Observatory
48,19394123,41.325,-70.566,20180214,Martha's Vineyard Coastal Observatory
49,19394123,41.325,-70.566,20180215,Martha's Vineyard Coastal Observatory
50,19394123,41.325,-70.566,20180216,Martha's Vineyard Coastal Observatory
51,19394123,41.325,-70.566,20180217,Martha's Vineyard Coastal Observatory
52,19394123,41.325,-70.566,20180218,Martha's Vineyard Coastal Observatory
53,19394123,41.325,-70.566,20180219,Martha's Vineyard Coastal Observatory
54,19394123,41.325,-70.566,20180220,Martha's Vineyard Coastal Observatory
55,19394123,41.325,-70.566,20180221,Martha's Vineyard Coastal Observatory
56,19394123,41.325,-70.566,20180222,Martha's Vineyard Coastal Observatory
57,19394123,41.325,-70.566,20180223,Martha's Vineyard Coastal Observatory
58,19394123,41.325,-70.566,20180224,Martha's Vineyard Coastal Observatory
